order_id,order_date,customer_id,region_id,product_category_id,sales,profit,quantity,profit_margin
1,2022-01-01,103,2,2,56.94,8.59,2,15.086055497014403
2,2022-01-02,436,4,2,379.83,385.29,4,101.43748519074323
3,2022-01-03,861,2,1,551.45,315.13,3,57.14570677305285
4,2022-01-04,271,3,3,165.14,-0.62,8,-0.37543902143635705
5,2022-01-05,107,3,2,751.39,4.79,4,0.6374851941069218
6,2022-01-06,72,2,2,28.19,217.51,9,771.5856686768358
7,2022-01-07,701,1,4,185.23,105.2,1,56.7942557900988
8,2022-01-08,21,3,3,589.18,-34.29,1,-5.819953155232697
9,2022-01-09,615,1,2,720.1,193.74,4,26.904596583807805
10,2022-01-10,122,3,4,918.31,124.53,3,13.560780128714706
11,2022-01-11,467,1,4,711.39,-4.52,3,-0.635375813548124
12,2022-01-12,215,1,1,678.34,310.86,2,45.8265766429814
13,2022-01-13,331,1,4,406.45,361.78,2,89.00971829253291
14,2022-01-14,459,2,2,21.26,290.47,8,1366.274694261524
15,2022-01-15,88,1,1,137.76,320.09,1,232.35336817653888
16,2022-01-16,373,1,1,543.86,47.42,8,8.71915566506086
17,2022-01-17,100,1,2,681.63,68.61,3,10.065578099555477
18,2022-01-18,872,3,3,429.1,43.84,2,10.216732696341179
19,2022-01-19,664,1,4,736.07,294.28,9,39.97989321667775
20,2022-01-20,131,3,1,531.43,376.56,5,70.85787403797302
21,2022-01-21,662,1,3,92.69,272.58,5,294.07703096342647
22,2022-01-22,309,1,2,208.18,346.66,6,166.5193582476703
23,2022-01-23,770,2,4,843.2,237.41,4,28.155834914611006
24,2022-01-24,344,3,4,730.41,124.45,7,17.038375706794813
25,2022-01-25,492,1,1,896.87,141.59,7,15.78712633938029
26,2022-01-26,414,3,4,135.21,-16.11,9,-11.914799201242511
27,2022-01-27,806,3,4,990.42,-35.84,6,-3.6186668282142933
28,2022-01-28,386,4,4,225.22,262.96,1,116.75694876121125
29,2022-01-29,192,2,4,31.54,147.29,9,466.994292961319
30,2022-01-30,956,2,2,997.47,198.5,9,19.900347880136746
31,2022-01-31,277,2,3,295.45,200.95,5,68.01489253680826
32,2022-02-01,161,4,2,674.66,74.82,7,11.090030533898556
33,2022-02-02,460,4,2,193.15,164.15,1,84.98576236085944
34,2022-02-03,314,2,1,588.62,161.84,4,27.49481838877374
35,2022-02-04,22,4,4,905.95,124.79,4,13.77449086594183
36,2022-02-05,253,4,2,333.78,319.3,5,95.66181317035173
